"","species","body_mass_g"
"45","Adelie Penguin (Pygoscelis adeliae)",4600
"46","Adelie Penguin (Pygoscelis adeliae)",3425
"47","Adelie Penguin (Pygoscelis adeliae)",2975
"48","Adelie Penguin (Pygoscelis adeliae)",3450
"49","Adelie Penguin (Pygoscelis adeliae)",4150
"50","Adelie Penguin (Pygoscelis adeliae)",3500
"51","Adelie Penguin (Pygoscelis adeliae)",4300
"52","Adelie Penguin (Pygoscelis adeliae)",3450
"53","Adelie Penguin (Pygoscelis adeliae)",4050
"54","Adelie Penguin (Pygoscelis adeliae)",2900
"55","Adelie Penguin (Pygoscelis adeliae)",3700
"56","Adelie Penguin (Pygoscelis adeliae)",3550
"57","Adelie Penguin (Pygoscelis adeliae)",3800
"58","Adelie Penguin (Pygoscelis adeliae)",2850
"59","Adelie Penguin (Pygoscelis adeliae)",3750
"60","Adelie Penguin (Pygoscelis adeliae)",3150
"61","Adelie Penguin (Pygoscelis adeliae)",4400
"62","Adelie Penguin (Pygoscelis adeliae)",3600
"63","Adelie Penguin (Pygoscelis adeliae)",4050
"64","Adelie Penguin (Pygoscelis adeliae)",2850
"65","Adelie Penguin (Pygoscelis adeliae)",3950
"66","Adelie Penguin (Pygoscelis adeliae)",3350
"67","Adelie Penguin (Pygoscelis adeliae)",4100
"68","Adelie Penguin (Pygoscelis adeliae)",3050
"69","Adelie Penguin (Pygoscelis adeliae)",4450
"70","Adelie Penguin (Pygoscelis adeliae)",3600
"71","Adelie Penguin (Pygoscelis adeliae)",3900
"72","Adelie Penguin (Pygoscelis adeliae)",3550
"73","Adelie Penguin (Pygoscelis adeliae)",4150
"74","Adelie Penguin (Pygoscelis adeliae)",3700
"75","Adelie Penguin (Pygoscelis adeliae)",4250
"76","Adelie Penguin (Pygoscelis adeliae)",3700
"77","Adelie Penguin (Pygoscelis adeliae)",3900
"78","Adelie Penguin (Pygoscelis adeliae)",3550
"79","Adelie Penguin (Pygoscelis adeliae)",4000
"80","Adelie Penguin (Pygoscelis adeliae)",3200
"81","Adelie Penguin (Pygoscelis adeliae)",4700
"82","Adelie Penguin (Pygoscelis adeliae)",3800
"83","Adelie Penguin (Pygoscelis adeliae)",4200
"84","Adelie Penguin (Pygoscelis adeliae)",3350
"85","Adelie Penguin (Pygoscelis adeliae)",3550
"86","Adelie Penguin (Pygoscelis adeliae)",3800
"87","Adelie Penguin (Pygoscelis adeliae)",3500
"88","Adelie Penguin (Pygoscelis adeliae)",3950
"89","Adelie Penguin (Pygoscelis adeliae)",3600
"90","Adelie Penguin (Pygoscelis adeliae)",3550
"91","Adelie Penguin (Pygoscelis adeliae)",4300
"92","Adelie Penguin (Pygoscelis adeliae)",3400
"93","Adelie Penguin (Pygoscelis adeliae)",4450
"94","Adelie Penguin (Pygoscelis adeliae)",3300
"95","Adelie Penguin (Pygoscelis adeliae)",4300
"96","Adelie Penguin (Pygoscelis adeliae)",3700
"97","Adelie Penguin (Pygoscelis adeliae)",4350
"98","Adelie Penguin (Pygoscelis adeliae)",2900
"99","Adelie Penguin (Pygoscelis adeliae)",4100
"100","Adelie Penguin (Pygoscelis adeliae)",3725
"101","Adelie Penguin (Pygoscelis adeliae)",4725
"102","Adelie Penguin (Pygoscelis adeliae)",3075
"103","Adelie Penguin (Pygoscelis adeliae)",4250
"104","Adelie Penguin (Pygoscelis adeliae)",2925
"105","Adelie Penguin (Pygoscelis adeliae)",3550
"106","Adelie Penguin (Pygoscelis adeliae)",3750
"107","Adelie Penguin (Pygoscelis adeliae)",3900
"108","Adelie Penguin (Pygoscelis adeliae)",3175
"109","Adelie Penguin (Pygoscelis adeliae)",4775
"110","Adelie Penguin (Pygoscelis adeliae)",3825
"111","Adelie Penguin (Pygoscelis adeliae)",4600
"112","Adelie Penguin (Pygoscelis adeliae)",3200
"113","Adelie Penguin (Pygoscelis adeliae)",4275
"114","Adelie Penguin (Pygoscelis adeliae)",3900
"115","Adelie Penguin (Pygoscelis adeliae)",4075
"116","Adelie Penguin (Pygoscelis adeliae)",2900
"117","Adelie Penguin (Pygoscelis adeliae)",3775
"118","Adelie Penguin (Pygoscelis adeliae)",3350
"119","Adelie Penguin (Pygoscelis adeliae)",3325
"120","Adelie Penguin (Pygoscelis adeliae)",3150
"121","Adelie Penguin (Pygoscelis adeliae)",3500
"122","Adelie Penguin (Pygoscelis adeliae)",3450
"123","Adelie Penguin (Pygoscelis adeliae)",3875
"124","Adelie Penguin (Pygoscelis adeliae)",3050
"125","Adelie Penguin (Pygoscelis adeliae)",4000
"126","Adelie Penguin (Pygoscelis adeliae)",3275
"127","Adelie Penguin (Pygoscelis adeliae)",4300
"128","Adelie Penguin (Pygoscelis adeliae)",3050
"129","Adelie Penguin (Pygoscelis adeliae)",4000
"130","Adelie Penguin (Pygoscelis adeliae)",3325
"131","Adelie Penguin (Pygoscelis adeliae)",3500
"132","Adelie Penguin (Pygoscelis adeliae)",3500
"133","Adelie Penguin (Pygoscelis adeliae)",4475
"134","Adelie Penguin (Pygoscelis adeliae)",3425
"135","Adelie Penguin (Pygoscelis adeliae)",3900
"136","Adelie Penguin (Pygoscelis adeliae)",3175
"137","Adelie Penguin (Pygoscelis adeliae)",3975
"138","Adelie Penguin (Pygoscelis adeliae)",3400
"139","Adelie Penguin (Pygoscelis adeliae)",4250
"140","Adelie Penguin (Pygoscelis adeliae)",3400
"141","Adelie Penguin (Pygoscelis adeliae)",3475
"142","Adelie Penguin (Pygoscelis adeliae)",3050
"143","Adelie Penguin (Pygoscelis adeliae)",3725
"144","Adelie Penguin (Pygoscelis adeliae)",3000
"145","Adelie Penguin (Pygoscelis adeliae)",3650
"146","Adelie Penguin (Pygoscelis adeliae)",4250
"147","Adelie Penguin (Pygoscelis adeliae)",3475
"148","Adelie Penguin (Pygoscelis adeliae)",3450
"149","Adelie Penguin (Pygoscelis adeliae)",3750
"150","Adelie Penguin (Pygoscelis adeliae)",3700
"151","Adelie Penguin (Pygoscelis adeliae)",4000
"152","Gentoo penguin (Pygoscelis papua)",4500
"153","Gentoo penguin (Pygoscelis papua)",5700
"154","Gentoo penguin (Pygoscelis papua)",4450
"155","Gentoo penguin (Pygoscelis papua)",5700
"156","Gentoo penguin (Pygoscelis papua)",5400
"157","Gentoo penguin (Pygoscelis papua)",4550
"158","Gentoo penguin (Pygoscelis papua)",4800
"159","Gentoo penguin (Pygoscelis papua)",5200
"160","Gentoo penguin (Pygoscelis papua)",4400
"161","Gentoo penguin (Pygoscelis papua)",5150
"162","Gentoo penguin (Pygoscelis papua)",4650
"163","Gentoo penguin (Pygoscelis papua)",5550
"164","Gentoo penguin (Pygoscelis papua)",4650
"165","Gentoo penguin (Pygoscelis papua)",5850
"166","Gentoo penguin (Pygoscelis papua)",4200
"167","Gentoo penguin (Pygoscelis papua)",5850
"168","Gentoo penguin (Pygoscelis papua)",4150
"169","Gentoo penguin (Pygoscelis papua)",6300
"170","Gentoo penguin (Pygoscelis papua)",4800
"171","Gentoo penguin (Pygoscelis papua)",5350
"172","Gentoo penguin (Pygoscelis papua)",5700
"173","Gentoo penguin (Pygoscelis papua)",5000
"174","Gentoo penguin (Pygoscelis papua)",4400
"175","Gentoo penguin (Pygoscelis papua)",5050
"176","Gentoo penguin (Pygoscelis papua)",5000
"177","Gentoo penguin (Pygoscelis papua)",5100
"178","Gentoo penguin (Pygoscelis papua)",4100
"179","Gentoo penguin (Pygoscelis papua)",5650
"180","Gentoo penguin (Pygoscelis papua)",4600
"181","Gentoo penguin (Pygoscelis papua)",5550
"182","Gentoo penguin (Pygoscelis papua)",5250
"183","Gentoo penguin (Pygoscelis papua)",4700
"184","Gentoo penguin (Pygoscelis papua)",5050
"185","Gentoo penguin (Pygoscelis papua)",6050
"186","Gentoo penguin (Pygoscelis papua)",5150
"187","Gentoo penguin (Pygoscelis papua)",5400
"188","Gentoo penguin (Pygoscelis papua)",4950
"189","Gentoo penguin (Pygoscelis papua)",5250
"190","Gentoo penguin (Pygoscelis papua)",4350
"191","Gentoo penguin (Pygoscelis papua)",5350
"192","Gentoo penguin (Pygoscelis papua)",3950
"193","Gentoo penguin (Pygoscelis papua)",5700
"194","Gentoo penguin (Pygoscelis papua)",4300
"195","Gentoo penguin (Pygoscelis papua)",4750
"196","Gentoo penguin (Pygoscelis papua)",5550
"197","Gentoo penguin (Pygoscelis papua)",4900
"198","Gentoo penguin (Pygoscelis papua)",4200
"199","Gentoo penguin (Pygoscelis papua)",5400
"200","Gentoo penguin (Pygoscelis papua)",5100
"201","Gentoo penguin (Pygoscelis papua)",5300
"202","Gentoo penguin (Pygoscelis papua)",4850
"203","Gentoo penguin (Pygoscelis papua)",5300
"204","Gentoo penguin (Pygoscelis papua)",4400
"205","Gentoo penguin (Pygoscelis papua)",5000
"206","Gentoo penguin (Pygoscelis papua)",4900
"207","Gentoo penguin (Pygoscelis papua)",5050
"208","Gentoo penguin (Pygoscelis papua)",4300
"209","Gentoo penguin (Pygoscelis papua)",5000
"210","Gentoo penguin (Pygoscelis papua)",4450
"211","Gentoo penguin (Pygoscelis papua)",5550
"212","Gentoo penguin (Pygoscelis papua)",4200
"213","Gentoo penguin (Pygoscelis papua)",5300
"214","Gentoo penguin (Pygoscelis papua)",4400
"215","Gentoo penguin (Pygoscelis papua)",5650
"216","Gentoo penguin (Pygoscelis papua)",4700
"217","Gentoo penguin (Pygoscelis papua)",5700
"218","Gentoo penguin (Pygoscelis papua)",4650
"219","Gentoo penguin (Pygoscelis papua)",5800
"220","Gentoo penguin (Pygoscelis papua)",4700
"221","Gentoo penguin (Pygoscelis papua)",5550
"222","Gentoo penguin (Pygoscelis papua)",4750
"223","Gentoo penguin (Pygoscelis papua)",5000
"224","Gentoo penguin (Pygoscelis papua)",5100
"225","Gentoo penguin (Pygoscelis papua)",5200
"226","Gentoo penguin (Pygoscelis papua)",4700
"227","Gentoo penguin (Pygoscelis papua)",5800
"228","Gentoo penguin (Pygoscelis papua)",4600
"229","Gentoo penguin (Pygoscelis papua)",6000
"230","Gentoo penguin (Pygoscelis papua)",4750
"231","Gentoo penguin (Pygoscelis papua)",5950
"232","Gentoo penguin (Pygoscelis papua)",4625
"233","Gentoo penguin (Pygoscelis papua)",5450
"234","Gentoo penguin (Pygoscelis papua)",4725
"235","Gentoo penguin (Pygoscelis papua)",5350
"236","Gentoo penguin (Pygoscelis papua)",4750
"237","Gentoo penguin (Pygoscelis papua)",5600
"238","Gentoo penguin (Pygoscelis papua)",4600
"239","Gentoo penguin (Pygoscelis papua)",5300
"240","Gentoo penguin (Pygoscelis papua)",4875
"241","Gentoo penguin (Pygoscelis papua)",5550
"242","Gentoo penguin (Pygoscelis papua)",4950
"243","Gentoo penguin (Pygoscelis papua)",5400
"244","Gentoo penguin (Pygoscelis papua)",4750
"245","Gentoo penguin (Pygoscelis papua)",5650
"246","Gentoo penguin (Pygoscelis papua)",4850
"247","Gentoo penguin (Pygoscelis papua)",5200
"248","Gentoo penguin (Pygoscelis papua)",4925
"249","Gentoo penguin (Pygoscelis papua)",4875
"250","Gentoo penguin (Pygoscelis papua)",4625
"251","Gentoo penguin (Pygoscelis papua)",5250
"252","Gentoo penguin (Pygoscelis papua)",4850
"253","Gentoo penguin (Pygoscelis papua)",5600
"254","Gentoo penguin (Pygoscelis papua)",4975
"255","Gentoo penguin (Pygoscelis papua)",5500
"256","Gentoo penguin (Pygoscelis papua)",4725
"257","Gentoo penguin (Pygoscelis papua)",5500
"258","Gentoo penguin (Pygoscelis papua)",4700
"259","Gentoo penguin (Pygoscelis papua)",5500
"260","Gentoo penguin (Pygoscelis papua)",4575
"261","Gentoo penguin (Pygoscelis papua)",5500
"262","Gentoo penguin (Pygoscelis papua)",5000
"263","Gentoo penguin (Pygoscelis papua)",5950
"264","Gentoo penguin (Pygoscelis papua)",4650
"265","Gentoo penguin (Pygoscelis papua)",5500
"266","Gentoo penguin (Pygoscelis papua)",4375
"267","Gentoo penguin (Pygoscelis papua)",5850
"268","Gentoo penguin (Pygoscelis papua)",4875
"269","Gentoo penguin (Pygoscelis papua)",6000
"270","Gentoo penguin (Pygoscelis papua)",4925
"271","Gentoo penguin (Pygoscelis papua)",4850
"272","Gentoo penguin (Pygoscelis papua)",5750
"273","Gentoo penguin (Pygoscelis papua)",5200
"274","Gentoo penguin (Pygoscelis papua)",5400
"275","Chinstrap penguin (Pygoscelis antarctica)",3500
"276","Chinstrap penguin (Pygoscelis antarctica)",3900
"277","Chinstrap penguin (Pygoscelis antarctica)",3650
"278","Chinstrap penguin (Pygoscelis antarctica)",3525
"279","Chinstrap penguin (Pygoscelis antarctica)",3725
"280","Chinstrap penguin (Pygoscelis antarctica)",3950
"281","Chinstrap penguin (Pygoscelis antarctica)",3250
"282","Chinstrap penguin (Pygoscelis antarctica)",3750
"283","Chinstrap penguin (Pygoscelis antarctica)",4150
"284","Chinstrap penguin (Pygoscelis antarctica)",3700
"285","Chinstrap penguin (Pygoscelis antarctica)",3800
"286","Chinstrap penguin (Pygoscelis antarctica)",3775
"287","Chinstrap penguin (Pygoscelis antarctica)",3700
"288","Chinstrap penguin (Pygoscelis antarctica)",4050
"289","Chinstrap penguin (Pygoscelis antarctica)",3575
"290","Chinstrap penguin (Pygoscelis antarctica)",4050
"291","Chinstrap penguin (Pygoscelis antarctica)",3300
"292","Chinstrap penguin (Pygoscelis antarctica)",3700
"293","Chinstrap penguin (Pygoscelis antarctica)",3450
"294","Chinstrap penguin (Pygoscelis antarctica)",4400
"295","Chinstrap penguin (Pygoscelis antarctica)",3600
"296","Chinstrap penguin (Pygoscelis antarctica)",3400
"297","Chinstrap penguin (Pygoscelis antarctica)",2900
"298","Chinstrap penguin (Pygoscelis antarctica)",3800
"299","Chinstrap penguin (Pygoscelis antarctica)",3300
"300","Chinstrap penguin (Pygoscelis antarctica)",4150
"301","Chinstrap penguin (Pygoscelis antarctica)",3400
"302","Chinstrap penguin (Pygoscelis antarctica)",3800
"303","Chinstrap penguin (Pygoscelis antarctica)",3700
"304","Chinstrap penguin (Pygoscelis antarctica)",4550
"305","Chinstrap penguin (Pygoscelis antarctica)",3200
"306","Chinstrap penguin (Pygoscelis antarctica)",4300
"307","Chinstrap penguin (Pygoscelis antarctica)",3350
"308","Chinstrap penguin (Pygoscelis antarctica)",4100
"309","Chinstrap penguin (Pygoscelis antarctica)",3600
"310","Chinstrap penguin (Pygoscelis antarctica)",3900
"311","Chinstrap penguin (Pygoscelis antarctica)",3850
"312","Chinstrap penguin (Pygoscelis antarctica)",4800
"313","Chinstrap penguin (Pygoscelis antarctica)",2700
"314","Chinstrap penguin (Pygoscelis antarctica)",4500
"315","Chinstrap penguin (Pygoscelis antarctica)",3950
"316","Chinstrap penguin (Pygoscelis antarctica)",3650
"317","Chinstrap penguin (Pygoscelis antarctica)",3550
"318","Chinstrap penguin (Pygoscelis antarctica)",3500
"319","Chinstrap penguin (Pygoscelis antarctica)",3675
"320","Chinstrap penguin (Pygoscelis antarctica)",4450
"321","Chinstrap penguin (Pygoscelis antarctica)",3400
"322","Chinstrap penguin (Pygoscelis antarctica)",4300
"323","Chinstrap penguin (Pygoscelis antarctica)",3250
"324","Chinstrap penguin (Pygoscelis antarctica)",3675
"325","Chinstrap penguin (Pygoscelis antarctica)",3325
"326","Chinstrap penguin (Pygoscelis antarctica)",3950
"327","Chinstrap penguin (Pygoscelis antarctica)",3600
"328","Chinstrap penguin (Pygoscelis antarctica)",4050
"329","Chinstrap penguin (Pygoscelis antarctica)",3350
"330","Chinstrap penguin (Pygoscelis antarctica)",3450
"331","Chinstrap penguin (Pygoscelis antarctica)",3250
"332","Chinstrap penguin (Pygoscelis antarctica)",4050
"333","Chinstrap penguin (Pygoscelis antarctica)",3800
"334","Chinstrap penguin (Pygoscelis antarctica)",3525
"335","Chinstrap penguin (Pygoscelis antarctica)",3950
"336","Chinstrap penguin (Pygoscelis antarctica)",3650
"337","Chinstrap penguin (Pygoscelis antarctica)",3650
"338","Chinstrap penguin (Pygoscelis antarctica)",4000
"339","Chinstrap penguin (Pygoscelis antarctica)",3400
"340","Chinstrap penguin (Pygoscelis antarctica)",3775
"341","Chinstrap penguin (Pygoscelis antarctica)",4100
"342","Chinstrap penguin (Pygoscelis antarctica)",3775
